Season,Date,Referee,HomeTeam,AwayTeam,FullTime,HalfTime,HomeGoals,HomeGoalsHalftime,HomeShots,HomeShotsOnTarget,HomeCorners,HomeFouls,HomeYellowCards,HomeRedCards,AwayGoals,AwayGoalsHalftime,AwayShots,AwayShotsOnTarget,AwayCorners,AwayFouls,AwayYellowCards,AwayRedCards
2010/11,2010-12-05,23,6,3,HomeWin,HomeWin,3,1,20,12,7,11,0,0,1,0,11,7,3,9,5,0
2010/11,2010-12-06,29,29,14,HomeWin,HomeWin,3,2,12,7,4,12,0,0,0,0,5,2,3,13,1,0
2010/11,2010-12-11,22,14,6,HomeWin,HomeWin,2,1,6,3,6,8,0,0,1,0,11,4,13,14,2,0
2010/11,2010-12-11,4,17,27,Draw,Draw,0,0,16,8,9,13,2,0,0,0,5,4,4,18,4,0
2010/11,2010-12-11,31,16,26,Draw,Draw,0,0,14,13,4,14,0,0,0,0,11,2,3,10,1,0
2010/11,2010-12-11,15,3,29,HomeWin,HomeWin,3,1,8,5,2,19,2,0,1,0,16,7,5,13,1,0
2010/11,2010-12-11,35,19,30,AwayWin,Draw,0,0,16,5,10,12,0,0,1,0,10,5,4,11,2,0
2010/11,2010-12-11,29,13,36,AwayWin,AwayWin,1,0,13,3,2,10,1,0,3,1,12,7,6,13,3,0
2010/11,2010-12-12,3,12,10,HomeWin,Draw,2,0,12,7,3,12,4,1,1,0,16,11,10,13,3,0
2010/11,2010-12-12,23,25,1,Draw,HomeWin,1,1,10,3,1,9,2,0,1,0,13,7,7,13,2,0
2010/11,2010-12-12,6,8,20,HomeWin,HomeWin,1,1,14,9,7,9,2,0,0,0,3,0,2,15,4,0
2010/11,2010-12-13,33,33,2,HomeWin,HomeWin,1,1,14,10,5,7,0,0,0,0,11,6,4,16,4,0
2010/11,2010-12-18,23,10,13,Draw,Draw,1,0,13,5,9,12,2,0,1,0,11,3,4,10,3,0
2010/11,2010-12-18,17,26,12,HomeWin,HomeWin,1,1,13,5,2,6,1,0,0,0,12,8,5,13,3,0
2010/11,2010-12-20,10,36,17,AwayWin,AwayWin,1,0,25,15,11,8,3,1,2,2,4,3,0,13,2,1
2010/11,2010-12-26,6,14,25,AwayWin,AwayWin,1,0,26,15,8,13,3,0,2,1,13,8,4,11,3,1
2010/11,2010-12-26,8,10,19,AwayWin,Draw,0,0,12,8,5,12,1,0,2,0,11,9,3,20,4,0
2010/11,2010-12-26,33,12,6,HomeWin,HomeWin,2,1,12,8,5,8,1,0,0,0,15,9,7,8,1,0
2010/11,2010-12-26,22,16,13,AwayWin,AwayWin,1,1,13,6,8,12,1,0,3,2,10,7,4,10,1,0
2010/11,2010-12-26,29,33,26,HomeWin,HomeWin,2,1,14,10,5,9,0,0,0,0,6,2,3,10,2,0
2010/11,2010-12-26,17,3,36,AwayWin,AwayWin,1,0,20,10,6,7,1,0,3,2,9,6,3,15,5,0
2010/11,2010-12-26,23,8,27,AwayWin,AwayWin,1,0,8,4,7,7,1,0,2,2,13,8,3,14,3,0
2010/11,2010-12-27,3,2,1,HomeWin,HomeWin,3,1,10,8,4,12,2,0,1,0,10,4,6,16,3,0
2010/11,2010-12-28,15,20,33,Draw,Draw,1,0,8,3,4,10,3,0,1,0,10,4,4,11,3,0
2010/11,2010-12-28,4,36,14,HomeWin,HomeWin,4,3,11,8,8,14,1,0,0,0,9,4,6,12,2,0
2010/11,2010-12-28,11,19,16,AwayWin,AwayWin,0,0,14,8,9,8,1,0,2,2,4,3,2,12,2,0
2010/11,2010-12-28,32,26,30,AwayWin,Draw,0,0,32,16,9,6,2,0,2,0,9,4,2,5,0,0
2010/11,2010-12-28,35,25,3,HomeWin,Draw,2,0,13,8,9,9,2,1,0,0,12,8,7,16,4,0
2010/11,2010-12-28,29,6,10,AwayWin,Draw,1,1,21,11,8,9,1,1,3,1,6,4,5,13,3,1
